iter	Logloss
0	0.6225463716
1	0.5922271407
2	0.5674280156
3	0.550849453
4	0.5378802574
5	0.5265367568
6	0.5152383043
7	0.5078274158
8	0.498919196
9	0.4922682406
10	0.4860147773
11	0.4783323524
12	0.4713692053
13	0.4658382478
14	0.4611040705
15	0.4567840003
16	0.4518096796
17	0.4469683087
18	0.4420844926
19	0.4380375282
20	0.4337718289
21	0.4303022518
22	0.4261482665
23	0.4230326722
24	0.4195405536
25	0.4164199642
26	0.4130857376
27	0.4102515492
28	0.4072812294
29	0.4043332535
30	0.4019356155
31	0.3997649804
32	0.3973975384
33	0.3950156291
34	0.3927973991
35	0.3905903099
36	0.3884611252
37	0.3863546646
38	0.3844070861
39	0.3826487422
40	0.3806571625
41	0.3786441599
42	0.3766066148
43	0.3748236037
44	0.373050032
45	0.3713997956
46	0.3696753606
47	0.3679860278
48	0.3663216802
49	0.3647962784
