iter	Passed	Remaining
0	183	9009
1	230	5531
2	275	4322
3	322	3710
4	369	3327
5	417	3064
6	463	2845
7	507	2666
8	552	2517
9	596	2384
10	641	2274
11	686	2173
12	731	2082
13	778	2001
14	824	1923
15	870	1849
16	918	1783
17	969	1723
18	1017	1659
19	1061	1592
20	1108	1530
21	1152	1467
22	1198	1407
23	1244	1347
24	1290	1290
25	1335	1232
26	1382	1177
27	1429	1122
28	1474	1067
29	1520	1013
30	1564	959
31	1610	905
32	1654	852
33	1699	799
34	1743	747
35	1787	695
36	1834	644
37	1882	594
38	1929	544
39	1976	494
40	2022	444
41	2068	394
42	2114	344
43	2159	294
44	2203	244
45	2249	195
46	2292	146
47	2337	97
48	2381	48
49	2425	0
